game,setCode,cardId,cardNumber,name,rarity,condition,sellPriceJpy,buyPriceJpy,buyPriceBaseJpy,buyPriceBoosted,spreadJpy,stock,availability,imageUrl,url,scrapedAt
ws,osk2.0,10219,OSK/S121-006EX,怒涛の撮影スケジュール MEMちょ(サイン入り),SEC+,near_mint,34800,25000,,False,9800,1,In Stock,https://card.yuyu-tei.jp/ws/100_140/osk2.0/10219.jpg,https://yuyu-tei.jp/sell/ws/card/osk2.0/10219,2026-09-16T19:44:56.462404+00:00
ws,osk2.0,10220,OSK/S121-030EX,導かれし双星 アクア&ルビー(サイン入り),SEC+,near_mint,79800,55000,,False,24800,1,In Stock,https://card.yuyu-tei.jp/ws/100_140/osk2.0/10220.jpg,https://yuyu-tei.jp/sell/ws/card/osk2.0/10220,2026-09-16T19:44:56.462426+00:00
ws,osk2.0,10213,OSK/S121-002SSP,どれにしようかな？MEMちょ(サイン入り),SSP,near_mint,6980,3500,,False,3480,0,Sold Out,https://card.yuyu-tei.jp/ws/100_140/osk2.0/10213.jpg,https://yuyu-tei.jp/sell/ws/card/osk2.0/10213,2026-09-16T19:44:56.462434+00:00
ws,osk2.0,10214,OSK/S121-027SSP,聖夜の待ち合わせ アイ(サイン入り),SSP,near_mint,79800,64000,,False,15800,0,Sold Out,https://card.yuyu-tei.jp/ws/100_140/osk2.0/10214.jpg,https://yuyu-tei.jp/sell/ws/card/osk2.0/10214,2026-09-16T19:44:56.462439+00:00
ws,osk2.0,10215,OSK/S121-028SSP,水族館デート 有馬かな(サイン入り),SSP,near_mint,39800,25000,,False,14800,1,In Stock,https://card.yuyu-tei.jp/ws/100_140/osk2.0/10215.jpg,https://yuyu-tei.jp/sell/ws/card/osk2.0/10215,2026-09-16T19:44:56.462444+00:00
ws,osk2.0,10216,OSK/S121-029SSP,自然とのふれあい ルビー(サイン入り),SSP,near_mint,9980,3600,,False,6380,5,In Stock,https://card.yuyu-tei.jp/ws/100_140/osk2.0/10216.jpg,https://yuyu-tei.jp/sell/ws/card/osk2.0/10216,2026-09-16T19:44:56.462448+00:00
ws,osk2.0,10217,OSK/S121-065SSP,コーヒーを片手に アクア(サイン入り),SSP,near_mint,19800,12000,,False,7800,2,In Stock,https://card.yuyu-tei.jp/ws/100_140/osk2.0/10217.jpg,https://yuyu-tei.jp/sell/ws/card/osk2.0/10217,2026-09-16T19:44:56.462453+00:00
ws,osk2.0,10218,OSK/S121-067SSP,星降る夜に 黒川あかね(サイン入り),SSP,near_mint,34800,20000,,False,14800,2,In Stock,https://card.yuyu-tei.jp/ws/100_140/osk2.0/10218.jpg,https://yuyu-tei.jp/sell/ws/card/osk2.0/10218,2026-09-16T19:44:56.462457+00:00
ws,osk2.0,10207,OSK/S121-001SP,役者としての矜持 有馬かな(サイン入り),SP,near_mint,6980,3500,,False,3480,0,Sold Out,https://card.yuyu-tei.jp/ws/100_140/osk2.0/10207.jpg,https://yuyu-tei.jp/sell/ws/card/osk2.0/10207,2026-09-16T19:44:56.462461+00:00
ws,osk2.0,10208,OSK/S121-003SP,自分だけの色 ルビー(サイン入り),SP,near_mint,3980,2500,,False,1480,2,In Stock,https://card.yuyu-tei.jp/ws/100_140/osk2.0/10208.jpg,https://yuyu-tei.jp/sell/ws/card/osk2.0/10208,2026-09-16T19:44:56.462471+00:00
